value,botw_trend,totk_trend
2165,1871.129243,2345.94381
2166,1870.956538,2345.771105
2167,1870.784305,2345.598872
2168,1870.612546,2345.427113
2169,1870.44126,2345.255827
2170,1870.270447,2345.085014
2171,1870.100106,2344.914673
2172,1869.930239,2344.744806
2173,1869.760844,2344.575411
2174,1869.591923,2344.40649
2175,1869.423474,2344.238041
2176,1869.255498,2344.070065
2177,1869.087996,2343.902563
2178,1868.920966,2343.735533
2179,1868.754409,2343.568976
2180,1868.588325,2343.402892
2181,1868.422714,2343.237281
2182,1868.257576,2343.072143
2183,1868.092911,2342.907478
2184,1867.928719,2342.743286
2185,1867.765,2342.579567
2186,1867.601754,2342.416321
2187,1867.43898,2342.253547
2188,1867.27668,2342.091247
2189,1867.114853,2341.92942
2190,1866.953498,2341.768065
2191,1866.792617,2341.607184
2192,1866.632208,2341.446775
2193,1866.472272,2341.286839
2194,1866.31281,2341.127377
2195,1866.15382,2340.968387
2196,1865.995303,2340.80987
2197,1865.837259,2340.651826
2198,1865.679689,2340.494256
2199,1865.522591,2340.337158
2200,1865.365966,2340.180533
2201,1865.209814,2340.024381
2202,1865.054134,2339.868701
2203,1864.898928,2339.713495
2204,1864.744195,2339.558762
2205,1864.589935,2339.404502
2206,1864.436147,2339.250714
2207,1864.282833,2339.0974
2208,1864.129992,2338.944559
2209,1863.977623,2338.79219
2210,1863.825728,2338.640295
2211,1863.674305,2338.488872
2212,1863.523355,2338.337922
2213,1863.372879,2338.187446
2214,1863.222875,2338.037442
2215,1863.073344,2337.887911
2216,1862.924286,2337.738853
2217,1862.775701,2337.590268
2218,1862.627589,2337.442156
2219,1862.47995,2337.294517
2220,1862.332784,2337.147351
2221,1862.186091,2337.000658
2222,1862.039871,2336.854438
2223,1861.894123,2336.70869
2224,1861.748849,2336.563416
2225,1861.604048,2336.418615
2226,1861.459719,2336.274286
2227,1861.315864,2336.130431
2228,1861.172481,2335.987048
2229,1861.029572,2335.844139
2230,1860.887135,2335.701702
2231,1860.745171,2335.559738
2232,1860.603681,2335.418248
2233,1860.462663,2335.27723
2234,1860.322118,2335.136685
2235,1860.182046,2334.996613
2236,1860.042447,2334.857014
2237,1859.903321,2334.717888
2238,1859.764668,2334.579235
2239,1859.626488,2334.441055
2240,1859.48878,2334.303347
2241,1859.351546,2334.166113
2242,1859.214785,2334.029352
2243,1859.078496,2333.893063
2244,1858.942681,2333.757248
2245,1858.807339,2333.621906
2246,1858.672469,2333.487036
2247,1858.538072,2333.352639
2248,1858.404149,2333.218716
2249,1858.270698,2333.085265
2250,1858.13772,2332.952287
2251,1858.005215,2332.819782
2252,1857.873184,2332.687751
2253,1857.741625,2332.556192
2254,1857.610539,2332.425106
2255,1857.479926,2332.294493
2256,1857.349786,2332.164353
2257,1857.220118,2332.034685
2258,1857.090924,2331.905491
2259,1856.962203,2331.77677
2260,1856.833955,2331.648522
2261,1856.706179,2331.520746
2262,1856.578877,2331.393444
2263,1856.452047,2331.266614
2264,1856.325691,2331.140258
2265,1856.199807,2331.014374
2266,1856.074397,2330.888964
2267,1855.949459,2330.764026
2268,1855.824994,2330.639561
2269,1855.701002,2330.515569
2270,1855.577484,2330.392051
2271,1855.454438,2330.269005
2272,1855.331865,2330.146432
2273,1855.209765,2330.024332
2274,1855.088138,2329.902705
2275,1854.966983,2329.78155
2276,1854.846302,2329.660869
2277,1854.726094,2329.540661
2278,1854.606359,2329.420926
2279,1854.487096,2329.301663
2280,1854.368307,2329.182874
2281,1854.24999,2329.064557
2282,1854.132147,2328.946714
2283,1854.014776,2328.829343
2284,1853.897879,2328.712446
2285,1853.781454,2328.596021
2286,1853.665502,2328.480069
2287,1853.550023,2328.36459
2288,1853.435018,2328.249585
2289,1853.320485,2328.135052
2290,1853.206425,2328.020992
2291,1853.092838,2327.907405
2292,1852.979724,2327.794291
2293,1852.867082,2327.681649
2294,1852.754914,2327.569481
2295,1852.643219,2327.457786
2296,1852.531997,2327.346564
2297,1852.421247,2327.235814
2298,1852.310971,2327.125538
2299,1852.201167,2327.015734
2300,1852.091837,2326.906404
2301,1851.982979,2326.797546
2302,1851.874595,2326.689162
2303,1851.766683,2326.58125
2304,1851.659244,2326.473811
2305,1851.552279,2326.366846
2306,1851.445786,2326.260353
2307,1851.339766,2326.154333
2308,1851.234219,2326.048786
2309,1851.129145,2325.943712
2310,1851.024544,2325.839111
2311,1850.920416,2325.734983
2312,1850.81676,2325.631327
2313,1850.713578,2325.528145
2314,1850.610869,2325.425436
2315,1850.508633,2325.3232
2316,1850.406869,2325.221436
2317,1850.305579,2325.120146
2318,1850.204761,2325.019328
2319,1850.104417,2324.918984
2320,1850.004545,2324.819112
2321,1849.905146,2324.719713
2322,1849.806221,2324.620788
2323,1849.707768,2324.522335
2324,1849.609788,2324.424355
2325,1849.512281,2324.326848
2326,1849.415247,2324.229814
2327,1849.318686,2324.133253
2328,1849.222598,2324.037165
2329,1849.126983,2323.94155
2330,1849.031841,2323.846408
2331,1848.937171,2323.751738
2332,1848.842975,2323.657542
